Date,Project,Daily Tow #,Site,Project Site Name,Station,Habitat,Lat Start,Long Start,TOD,Duration (min.sec),Speed (km/hr),Distance (m),Distance (speed*duration calculation),Depth (m),Temp (°C),Sal (ppt),Other Notes
20190726,Annual Trawling,12,"Back sound, NC",MF1,1,mudflat,34º41.854,76º37.099,15:43,2:00,3.5,120,,1,27.9,36,
20190726,Annual Trawling,13,"Back sound, NC",MF1,1,mudflat,34º41.829,76º37.118,15:55,2:00,3.2,111,,1.2,27.9,35,
20190820,Annual Trawling,1,"Back sound, NC",SG17,17,seagrass,34º39.834,76º31.700,11:13,2:00,3.6,120,,1,29.4,32,
20190820,Annual Trawling,2,"Back sound, NC",SG17,17,seagrass,34º39.863,76º31.715,11:19,1:35,3.7,101,,1,29.4,32,
20190820,Annual Trawling,3,"Back sound, NC",MF8,8,mudflat,34º39.689,76º31.794,11:32,2:00,3.6,116,,1,29.3,33,
20190820,Annual Trawling,4,"Back sound, NC",MF8,8,mudflat,34º39.740,76º31.750,11:40,2:00,3.3,110,,1.25,29.3,33,
20190820,Annual Trawling,5,"Back sound, NC",MF7,7,mudflat,34º39.460,76º31.720,11:48,2:00,3,101,,0.75,29.3,33,
20190820,Annual Trawling,6,"Back sound, NC",MF7,7,mudflat,34º39.443,76º31.693,11:53,2:00,3.2,106,,0.75,29.2,33,
20190820,Annual Trawling,7,"Back sound, NC",C6,6,creek,34º39.373,76º31.450,12:09,3:45,2.8,155,,0.75-1.5,29.4,34,
20190820,Annual Trawling,8,"Back sound, NC",SG11,11,seagrass,34º39.851,76º33.600,12:28,2:00,3.7,128,,0.75,29.6,34,
20190820,Annual Trawling,9,"Back sound, NC",SG11,11,seagrass,34º39.928,76º33.621,12:39,2:00,2.9,98,,0.75,29.6,34,
20190820,Annual Trawling,10,"Back sound, NC",SG1,1,seagrass,34º41.466,76º37.268,13:23,2:00,3.3,113,,1,30.4,34,
20190820,Annual Trawling,11,"Back sound, NC",SG1,1,seagrass,34º41.524,76º37.401,13:31,2:00,3.8,129,,1,30.4,34,
20190820,Annual Trawling,12,"Back sound, NC",C3,3,creek,34º41.767,76º36.493,13:49,2:00,3.5,115,,1,30.5,34,
20190820,Annual Trawling,13,"Back sound, NC",C3,3,creek,34º41.807,76º36.410,12:55,2:00,4,134,,1,30.5,34,
20190821,Annual Trawling,1,"Back sound, NC",SG6,6,seagrass,34º40.340,76º34.529,12:35,2:00,,,,0.75,29.5,,
20190821,Annual Trawling,2,"Back sound, NC",SG6,6,seagrass,34º40.252,76º34.524,12:45,2:00,3.5,124,,0.75,29.5,,
20190821,Annual Trawling,3,"Back sound, NC",SG7,7,seagrass,34º40.366,76º34.369,13:20,2:00,3.7,127,,0.75,29.9,,
20190821,Annual Trawling,4,"Back sound, NC",SG7,7,seagrass,34º31.410,76º34.326,13:30,2:00,3.8,130,,0.75,29.8,,
20190821,Annual Trawling,5,"Back sound, NC",MF4,4,mudflat,34º31.792,76º34.765,14:06,2:00,4,136,,1.25,30.4,,
20190821,Annual Trawling,6,"Back sound, NC",MF4,4,mudflat,34º49.667,76º34.690,14:12,2:00,3.6,124,,1,30.5,,
20190821,Annual Trawling,7,"Back sound, NC",SG2,2,seagrass,34º50.804,76º35.733,14:25,2:00,3.6,121,,1,30.3,,
20190821,Annual Trawling,8,"Back sound, NC",SG2,2,seagrass,34º32.853,76º35.650,14:38,2:00,3.1,112,,0.75,30.5,,
20190821,Annual Trawling,9,"Back sound, NC",C2,2,creek,34º32.631,76º36.857,15:02,2:10,3.4,127,,1.25,31.1,,
20190821,Annual Trawling,10,"Back sound, NC",C2,2,creek,34º32.618,76º36.725,15:08,2:00,2.4,84,,0.74,31.2,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
