spl_high,site
87.6373848,S12
84.67673126,S12
88.36139187,S12
84.45631482,S12
83.49365748,S12
85.85017583,S12
89.54314929,S12
85.8358688,S12
90.91831452,S12
87.03471482,S12
88.53221818,S12
94.3264148,S12
91.54710162,S12
93.14833046,S12
92.25059249,S12
89.62112421,S12
91.1268923,S12
84.55621071,S12
85.19611938,S12
86.2275473,S12
86.9686076,S12
88.51861075,S12
89.8819446,S12
86.94377022,S12
91.10437361,S12
95.80350692,S12
90.23322657,S12
94.99610907,S12
93.71640287,S12
89.81070047,S12
89.1030918,S12
92.9381425,S12
90.96531934,S12
90.49004438,S12
81.76207412,S12
82.20475121,S12
82.6454581,S12
86.49942484,S12
87.38949404,S12
89.76936907,S12
89.58719902,S12
89.06281085,S12
89.46184518,S12
90.98990609,S12
87.55771632,S12
87.42502722,S12
88.92309133,S12
88.42571848,S12
88.32097203,S12
85.73348638,S12
86.99160372,S12
86.11147637,S12
90.50642701,S12
88.37063052,S12
90.37365693,S12
92.95110029,S12
93.03163351,S12
93.27211875,S12
87.48133583,S12
89.26715967,S12
89.08842352,S12
87.95960539,S12
87.58376626,S12
88.99921901,S12
90.40002928,S12
88.54297697,S12
86.82206414,S12
91.27122064,S12
90.10296681,S12
92.08442408,S12
89.11826101,S12
88.27704451,S12
89.9909301,S12
91.32761033,S12
92.65032595,S12
91.76614773,S12
91.50091619,S12
91.14710023,S12
87.89688204,S12
89.11085007,S12
89.89961953,S12
88.96342697,M2
90.27724251,M2
89.31498647,M2
89.88778857,M2
89.52985373,M2
89.76038845,M2
89.86970113,M2
92.57788032,M2
90.05332933,M2
91.31714143,M2
92.05765609,M2
94.63602096,M2
93.8875889,M2
93.99149728,M2
93.19328971,M2
92.87348645,M2
92.9268339,M2
91.36630528,M2
89.18820235,M2
89.92987286,M2
89.73797713,M2
89.8077295,M2
91.28676133,M2
91.7113631,M2
93.07764668,M2
93.83582569,M2
94.3524298,M2
94.56465768,M2
93.8257177,M2
94.18058607,M2
92.90132342,M2
92.85364249,M2
93.38517665,M2
92.28945176,M2
88.70576908,M2
89.88903816,M2
88.65680298,M2
93.63197342,M2
93.23249399,M2
94.98766219,M2
95.90382613,M2
101.829392,M2
95.19924507,M2
95.0525632,M2
94.80690134,M2
94.26762331,M2
94.0346075,M2
93.96939825,M2
93.80444992,M2
92.13281651,M2
92.34426449,M2
88.5067345,M2
90.55674111,M2
92.98062193,M2
93.82338019,M2
94.89205927,M2
94.72229558,M2
94.2839054,M2
94.41379284,M2
94.60429579,M2
94.40026731,M2
94.08262402,M2
94.15646183,M2
94.06298417,M2
93.48278951,M2
93.53447857,M2
93.00747003,M2
91.47388161,M2
92.54909172,M2
91.89624149,M2
92.74812243,M2
93.94668766,M2
93.28114973,M2
93.47005889,M2
93.24022628,M2
93.46913641,M2
93.4014926,M2
93.24780947,M2
93.25884974,M2
92.96431422,M2
92.86678631,M2
105.6743696,C2
108.4987893,C2
108.5039663,C2
107.9716868,C2
108.7899494,C2
108.2531115,C2
106.8290553,C2
106.7384119,C2
108.7043986,C2
107.8915509,C2
108.8178246,C2
110.4609364,C2
107.9483917,C2
108.6357401,C2
108.8093183,C2
108.5594677,C2
109.1758182,C2
109.4883298,C2
106.9808253,C2
108.7094074,C2
107.593186,C2
107.1346963,C2
107.2360692,C2
107.6926778,C2
107.9965316,C2
109.1893782,C2
109.8214722,C2
108.7075799,C2
111.2624275,C2
110.4663418,C2
110.0772443,C2
109.7632492,C2
110.1988975,C2
110.9896708,C2
108.9088059,C2
109.8080282,C2
109.5598848,C2
108.845917,C2
108.024405,C2
107.85511,C2
108.625724,C2
108.6843979,C2
108.4803125,C2
108.9424862,C2
109.4277877,C2
109.1349404,C2
108.1108828,C2
109.8542482,C2
112.0324657,C2
111.061739,C2
110.7826924,C2
109.1738512,C2
110.6958942,C2
109.4481344,C2
107.3934341,C2
107.2623789,C2
109.5344947,C2
110.3569685,C2
109.868915,C2
109.5326727,C2
109.162322,C2
110.2375538,C2
109.3707061,C2
110.3182912,C2
109.4806759,C2
111.4075663,C2
111.087823,C2
109.9408724,C2
83.68716721,S2
84.32246668,S2
85.05372653,S2
86.35359529,S2
89.77600002,S2
89.40953775,S2
91.89251033,S2
91.35401584,S2
95.11973589,S2
98.10493766,S2
101.6696653,S2
104.4373099,S2
104.5540568,S2
104.1295892,S2
103.2123637,S2
102.842197,S2
102.8124922,S2
86.80363192,S2
87.28620495,S2
88.75005943,S2
90.45446975,S2
92.1313427,S2
93.7331077,S2
95.68539079,S2
102.8574075,S2
104.684343,S2
104.7283675,S2
104.5241464,S2
103.7440969,S2
103.5472413,S2
104.670905,S2
103.3470279,S2
102.8215609,S2
102.3210816,S2
87.25126185,S2
87.90572021,S2
90.34474599,S2
95.285176,S2
100.3664534,S2
102.3231166,S2
105.183823,S2
105.04814,S2
103.7563267,S2
104.6318269,S2
103.4342861,S2
103.1378848,S2
102.6674552,S2
102.133879,S2
102.6278305,S2
103.0399785,S2
101.1804757,S2
99.95523297,S2
101.8815164,S2
102.089093,S2
104.3769745,S2
104.1278423,S2
105.2099064,S2
102.5306346,S2
104.813592,S2
104.7280746,S2
104.7665148,S2
104.9412464,S2
105.3794561,S2
104.8776918,S2
104.9381736,S2
105.9073917,S2
102.949758,S2
103.9172665,S2
105.0978817,S2
106.957993,S2
106.94953,S2
105.494602,S2
104.9056409,S2
105.9338463,S2
105.4548066,S2
105.2217857,S2
104.3022008,S2
106.5312815,S2
106.2462182,S2
94.13633882,S4
94.04138632,S4
93.99639057,S4
93.3254782,S4
93.94671833,S4
93.30774008,S4
94.15868353,S4
95.36958507,S4
96.57626869,S4
98.5184764,S4
101.7694688,S4
103.6251305,S4
102.3490877,S4
102.3835139,S4
101.4554095,S4
101.3167886,S4
101.1376083,S4
93.13551537,S4
94.54249492,S4
93.87831085,S4
95.03813352,S4
94.18922099,S4
95.03641877,S4
99.51316447,S4
101.9451178,S4
102.3075221,S4
103.0505994,S4
103.0991443,S4
102.6416983,S4
102.6826831,S4
102.7789876,S4
101.00178,S4
100.9305986,S4
101.9799668,S4
93.55775828,S4
94.43622368,S4
96.35834936,S4
98.35518275,S4
101.4273276,S4
102.8549537,S4
102.5017148,S4
103.5379653,S4
101.974804,S4
102.7728695,S4
102.0701128,S4
102.8306981,S4
102.4308556,S4
101.6587161,S4
101.0164118,S4
101.6340572,S4
102.1649002,S4
100.1675514,S4
102.187355,S4
106.8031819,S4
103.5669884,S4
103.9129532,S4
103.4227473,S4
103.4729325,S4
102.1263265,S4
101.1013415,S4
103.1472394,S4
102.6798093,S4
102.8404694,S4
102.482017,S4
103.1493912,S4
89.49979705,M1
91.19996597,M1
92.29341188,M1
92.79449658,M1
92.86033934,M1
91.8308506,M1
90.92347803,M1
89.86453903,M1
90.28137869,M1
90.75681108,M1
90.31418963,M1
90.43082274,M1
90.32944897,M1
89.70652372,M1
89.27422329,M1
88.51640451,M1
90.62653665,M1
92.76428446,M1
93.1897333,M1
92.3665802,M1
92.62968362,M1
91.86950381,M1
91.80320074,M1
91.17683141,M1
92.25164023,M1
91.33593095,M1
92.04625162,M1
92.18461274,M1
91.63100635,M1
91.53192165,M1
91.42933034,M1
90.78211981,M1
90.73143318,M1
90.36877752,M1
92.7929733,M1
93.05015876,M1
91.62148605,M1
91.28619816,M1
93.12234528,M1
92.24353951,M1
91.92362925,M1
90.96883678,M1
92.2060658,M1
91.51272155,M1
91.10247839,M1
91.41572793,M1
89.47619777,M1
88.85837736,M1
90.12170542,M1
90.31035108,M1
90.501399,M1
91.18066555,M1
91.84665612,M1
97.17141933,M1
92.03661705,M1
92.2865297,M1
91.53618105,M1
91.6937579,M1
91.79991294,M1
92.08277889,M1
92.09139952,M1
92.08277624,M1
91.78492812,M1
91.53379833,M1
91.28706634,M1
91.49105579,M1
91.35299274,M1
92.27513653,M1
78.44597306,CB
78.86904343,CB
77.1411681,CB
79.62823943,CB
77.43710585,CB
79.26759478,CB
79.11219157,CB
78.77665331,CB
82.57517594,CB
75.75702726,CB
77.69004216,CB
81.20526247,CB
80.95544161,CB
80.65062622,CB
84.67080406,CB
81.50969435,CB
80.3522591,CB
84.44992422,CB
85.67545071,CB
81.46641366,CB
80.35193283,CB
82.39571542,CB
86.18275931,CB
82.27582797,CB
80.94617683,CB
80.66352418,CB
83.19599527,CB
81.12725673,CB
85.77204543,CB
83.09397393,CB
83.80410283,CB
85.23209651,CB
82.44331692,CB
85.13587658,CB
91.3037028,CB
85.02145628,CB
86.7250121,CB
85.01869239,CB
85.82175412,CB
87.85334551,CB
84.88554214,CB
87.30669756,CB
84.6869844,CB
80.60599806,CB
87.63917003,CB
82.01603734,CB
83.89788646,CB
81.1606886,CB
81.05850437,CB
79.25561059,CB
85.46985546,CB
88.35199664,CB
79.38814635,CB
82.14081072,CB
81.95159951,CB
87.22071285,CB
89.12724111,CB
85.66451555,CB
87.0840347,CB
84.35269594,CB
87.04824861,CB
88.2849878,CB
84.91140203,CB
82.75907299,CB
87.63721702,CB
83.08824971,CB
83.9301096,CB
92.9828786,CB
87.33179466,CB
80.68154817,CB
85.10774721,CB
81.78732133,CB
87.88109572,CB
80.31236933,CB
81.67604246,CB
86.28035433,CB
84.54161501,CB
86.68251228,CB
86.86517964,CB
85.39472219,CB
80.15071012,CB
87.73019503,CB
83.05920895,CB
82.07055546,CB
83.92863963,CB
85.66132427,CB
86.86072747,CB
85.84161868,CB
85.95240419,CB
84.39317602,CB
87.78657963,CB
93.22313232,CB
92.26019628,CB
88.16517431,CB
90.64509169,CB
86.53029629,CB
82.19870574,CB
91.17115646,CB
84.62492365,CB
82.71993153,CB
78.54116018,CB
84.36085322,CB
83.51417597,CB
80.58356382,CB
87.13062834,CB
82.47978513,CB
84.01663349,CB
85.12578571,CB
82.51222065,CB
89.95871017,CB
85.3835974,CB
85.54448964,CB
83.26372828,CB
81.9383247,CB
80.89911384,CB
85.12943201,CB
79.64697855,CB
80.8598983,CB
83.1622396,CB
80.68197144,CB
