low_spl,site
98.29334309,S10
97.39192056,S10
92.17005054,S10
91.49049964,S10
87.54885082,S10
88.21422201,S10
86.01169438,S10
83.21697303,S10
81.9212568,S10
94.30779402,S10
97.73352645,S10
97.86370048,S10
100.6830161,S10
98.99782716,S10
98.79374066,S10
96.312527,S10
98.37799022,S10
93.50172676,S10
90.72788825,S10
91.62466348,S10
90.06440488,S10
87.12940099,S10
84.07185392,S10
86.56502618,S10
84.19115718,S10
81.39040793,S10
94.6453292,S10
94.60293047,S10
96.15493716,S10
96.38653623,S10
96.67634668,S10
96.65148156,S10
96.56590692,S10
97.46916598,S10
94.51414118,S10
93.02103564,S10
92.7434527,S10
89.65945605,S10
91.48319352,S10
87.70054487,S12
90.65499383,S12
89.82265475,S12
89.40707767,S12
88.97390237,S12
90.9051249,S12
94.55778439,S12
96.32143663,S12
105.5746198,S12
100.2872912,S12
100.3548829,S12
101.6336994,S12
103.948559,S12
106.0864877,S12
109.3993377,S12
105.1453015,S12
99.79485138,S12
99.26374783,S12
98.26931416,S12
100.2917527,S12
100.5620693,S12
102.7330791,S12
102.4473027,S12
102.308173,S12
101.8161436,S12
102.7532302,S12
100.0490267,S12
102.4224416,S12
103.762744,S12
102.8736389,S12
93.0018422,S12
94.60164027,S12
99.09600232,S12
102.4805754,S12
97.41237228,S12
100.5192878,S12
103.1037655,S12
104.8798178,S12
105.143699,S12
105.0395421,S12
101.1647769,S12
100.0833366,S12
94.51700903,S12
93.84286828,S12
87.81440708,S12
85.95392982,S12
81.18513583,S12
83.25825041,S12
83.64365603,S12
88.94361457,S12
83.8083011,S12
99.46421686,S12
101.9347736,S12
103.3660267,S12
103.4550952,S12
104.8311818,S12
105.128467,S12
103.1585651,S12
97.94680173,S12
94.1552084,S12
96.11691859,S12
88.44202168,S12
86.00203328,S12
84.91327359,S12
86.41754279,S12
83.58864473,S12
87.83230774,S12
88.13392389,S12
100.0695722,S12
100.9817923,S12
101.6614488,S12
100.7639704,S12
100.078541,S12
97.31739806,S12
92.27338308,S12
86.16501491,S12
86.77731144,S12
85.27175292,S12
83.68917359,S12
83.63511765,S12
84.60876946,S12
93.83744137,M2
95.95538797,M2
94.63014874,M2
95.20430046,M2
95.2699271,M2
95.24891323,M2
95.75053059,M2
98.28104762,M2
96.37189216,M2
98.00673922,M2
99.22525233,M2
109.5270687,M2
114.7346111,M2
109.9526372,M2
121.4919737,M2
123.5894926,M2
121.3061064,M2
99.08756294,M2
98.70789338,M2
97.93980378,M2
99.34637232,M2
100.6770991,M2
97.4809408,M2
99.47939035,M2
101.9112635,M2
104.8522014,M2
114.9236351,M2
115.8118783,M2
116.1515132,M2
118.1603537,M2
111.7551962,M2
120.5088968,M2
124.6040948,M2
119.8103441,M2
93.83892296,M2
93.62022248,M2
92.34122745,M2
95.21589216,M2
96.76515501,M2
98.72670378,M2
104.7480402,M2
109.1129132,M2
115.9670846,M2
115.0797272,M2
120.5562011,M2
115.3291622,M2
119.0472888,M2
119.0177681,M2
119.0485605,M2
116.5454254,M2
117.3411342,M2
94.2565943,M2
89.64556891,M2
91.87317316,M2
99.76071015,M2
112.3636878,M2
111.8038088,M2
116.5382873,M2
118.5784495,M2
116.6717983,M2
